Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.7049123	0.0849751	0.93694776	0.54048115	1000.0	0.062295552	0.2277871	0.59555006	-0.6862965	40000	7.683411e-09	0.15838933	-0.010342459	-0.15493199	0.9189447	0.0063976366	0.067475	79.0	12.887204647064209
1	0.6947282	0.089582205	0.89100015	0.49540988	1000.0	0.0737676	0.018475484	0.24251215	-0.13337679	80000	-5.5879354e-09	0.15187247	-0.016849758	-0.15134996	0.9169866	0.00838838	0.104825005	79.0	25.355469465255737
2	0.81478894	0.0863146	1.0737689	0.6284433	1000.0	0.06805081	0.013074459	0.20542324	-0.056505226	120000	1.4784746e-08	0.15774876	-0.01815953	-0.15724665	0.90985096	0.007688054	0.11325	79.0	36.80979371070862
3	0.9053094	0.087588705	1.0907806	0.7003581	1000.0	0.077211425	0.010098472	0.20337	-0.016200297	160000	-3.7252903e-09	0.16354892	-0.01868921	-0.1630073	0.90031344	0.007874968	0.121825	79.0	46.70498752593994
4	1.0580323	0.13392118	1.367889	0.81576526	1000.0	0.08691022	0.008721844	0.18668391	0.014651239	200000	-1.8626451e-09	0.17231071	-0.018227983	-0.17155537	0.8900745	0.008548263	0.128675	79.0	56.51023507118225
5	1.1763923	0.13261451	1.4914148	0.93561053	1000.0	0.10176081	0.007084724	0.20274869	0.038744107	240000	-9.313226e-09	0.180238	-0.006220566	-0.17940208	0.87990636	0.015289801	0.19685	5.0	64.9867742061615
6	1.4634354	0.15808557	1.7575254	1.07781	1000.0	0.11460865	0.0072226212	0.19450377	0.033088878	280000	1.8626451e-08	0.19833496	-0.0062157484	-0.19727436	0.87894845	0.016508874	0.25207502	4.0	74.24800133705139
7	1.8066003	0.16133751	2.2775438	1.3729562	1000.0	0.14163947	0.0061406833	0.22724605	0.08186511	320000	1.6763806e-08	0.22476083	-0.005494948	-0.22334176	0.8771135	0.017118927	0.226475	3.0	82.63757061958313
8	2.1580977	0.17735702	2.4813821	1.802144	1000.0	0.17755029	0.0064487928	0.22792988	0.09602332	360000	-1.8626451e-09	0.25348344	-0.004365721	-0.25180185	0.87512714	0.018988658	0.26880002	3.0	90.63699793815613
9	2.6799197	0.24031618	3.2306025	2.0939915	1000.0	0.21271984	0.0077074575	0.2572775	0.12988958	400000	3.9930455e-08	0.30153507	-0.004905793	-0.29901493	0.8727466	0.022411695	0.30830002	3.0	98.54921865463257
