Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-627.4244	22.538193	-590.7026	-658.81195	1000.0	-2.3394387	0.23550263	-1.0564411	-3.0140753	40000	-0.013658643	2460.7292	-0.0134804305	-915.1821	0.9125298	0.016143996	0.2494625	4.5	89.63971257209778
1	-609.4026	27.454794	-568.67737	-656.4322	1000.0	-23.56892	0.30375648	-18.967903	-24.004704	80000	-0.0108739585	1026.9893	-0.013669452	-272.2702	0.9124606	0.016966091	0.2684875	3.5	178.675550699234
2	-583.0938	26.827412	-540.0252	-619.2107	1000.0	-33.188885	0.4650852	-27.505901	-33.732643	120000	-0.011778869	473.85504	-0.01059873	-117.69592	0.9123238	0.01767444	0.2859375	2.5	269.37926292419434
3	-558.4337	26.161577	-518.5694	-594.53375	1000.0	-39.304817	0.6726756	-33.39959	-40.00947	160000	-0.008016907	206.10477	-0.009628752	-51.38474	0.9122072	0.0176902	0.2961375	2.0	362.215505361557
4	-532.0035	23.416603	-498.3715	-570.0543	1000.0	-43.36206	0.8975268	-37.214977	-44.309986	200000	-0.00859008	74.07201	-0.009616608	-19.00061	0.91209567	0.015954344	0.2457	1.5	455.3020079135895
5	-510.70816	22.653263	-469.71964	-546.13605	1000.0	-45.881516	1.1084223	-39.67791	-47.11154	240000	-0.007282771	21.861198	-0.008222657	-5.632078	0.9119783	0.02214573	0.3361625	1.5	548.5560643672943
6	-487.7539	23.128418	-446.87494	-519.6612	1000.0	-47.2818	1.3073504	-40.900204	-48.749325	280000	-0.0059513524	3.6099317	-0.0063912687	-0.6833082	0.91183925	0.026745532	0.37918752	1.5	641.7929794788361
7	-464.03842	20.284967	-429.95932	-492.85162	1000.0	-47.738136	1.5376847	-41.07134	-49.47631	320000	-0.0059167277	2.855075	-0.0054647727	-0.38970247	0.9116868	0.026043985	0.3671375	1.5	734.5128769874573
8	-445.14706	20.252941	-408.10733	-472.0139	1000.0	-47.408714	1.6932037	-40.616093	-49.31722	360000	-0.0035927594	7.6210747	-0.0040344694	-1.8532476	0.9115235	0.02409471	0.3566125	1.5	827.2891495227814
9	-430.28546	17.068787	-400.8312	-454.77014	1000.0	-46.576675	1.8251661	-39.663918	-48.54143	400000	-0.0039593615	10.381924	-0.0037587082	-2.8146122	0.91134757	0.018121004	0.323425	1.5	920.11714220047
10	-418.45712	14.567878	-388.27496	-439.2532	1000.0	-45.503223	1.828746	-38.706818	-47.432655	440000	-0.0036876611	11.227976	-0.003878789	-3.1975613	0.911151	0.021410601	0.30405003	1.5	1013.3141968250275
11	-408.04932	15.554186	-371.8381	-429.45895	1000.0	-44.338448	1.7386284	-37.771824	-46.061386	480000	-0.0032836124	10.347185	-0.004052774	-3.0620127	0.9109477	0.018815223	0.29425	1.5	1108.2200133800507
12	-400.31747	15.561537	-364.46265	-420.31122	1000.0	-43.17536	1.667408	-36.701893	-44.685116	520000	-0.003649408	8.219919	-0.004349339	-2.4493804	0.91074914	0.018997755	0.2799	1.5	1203.0072586536407
13	-390.9619	14.007895	-362.60254	-407.98657	1000.0	-42.1009	1.6246804	-35.71655	-43.5291	560000	-0.0044277795	7.880636	-0.006491108	-2.4015155	0.9105588	0.018699378	0.3269375	2.0	1297.3052592277527
14	-380.02844	14.200873	-353.15472	-397.97516	1000.0	-41.03057	1.5326647	-34.827538	-42.320015	600000	-0.0052494667	7.5371084	-0.004788261	-2.4446652	0.91028684	0.017569846	0.2761625	2.0	1389.6428689956665
15	-373.1084	13.215219	-341.32147	-393.6111	1000.0	-39.909897	1.5110109	-33.871967	-41.272957	640000	-0.005907232	5.930929	-0.005333869	-1.8344553	0.9100442	0.01758055	0.295275	2.0	1481.9647960662842
16	-364.3222	14.785773	-336.15298	-384.32504	1000.0	-38.91915	1.4405085	-33.150795	-40.27668	680000	-0.004877858	5.4738803	-0.004989618	-1.755208	0.9098072	0.018140534	0.302	2.0	1574.341007232666
17	-357.039	16.044333	-329.08304	-384.0666	1000.0	-37.943237	1.4467453	-32.31329	-39.398117	720000	-0.005370401	4.4894953	-0.004823208	-1.4448085	0.90955555	0.019455135	0.28056252	2.0	1666.6089351177216
18	-347.94427	16.123383	-311.75653	-372.35913	1000.0	-37.035572	1.498622	-31.525148	-38.697433	760000	-0.0044704266	4.8532114	-0.0047668945	-1.5067797	0.9093007	0.018298673	0.2633125	2.0	1758.5639343261719
19	-341.3547	17.13021	-316.19296	-369.03967	1000.0	-36.08683	1.547383	-30.707895	-37.80548	800000	-0.0052907914	3.7798166	-0.0049626576	-1.1979866	0.9090687	0.019079398	0.28635	2.0	1850.4564423561096
